"seqnames","start","end","width","strand","Conc","Conc_YAF","Conc_GFP","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr19",17732041,17771131,39091,"*",10.3025415029244,10.1522732949658,10.4386240215122,-0.234354519499052,0.188400837988527,0.306310574623746,"Promoter (<=1kb)",19,17747718,17788557,40840,1,"23149","ENST00000594202.6",0
"chr1",81799075,81804801,5727,"*",7.51852739995538,7.33278217571977,7.68306294080393,-0.266966163064774,0.188431650156723,0.306310574623746,"Promoter (<=1kb)",1,81800376,81987353,186978,1,"23266","ENST00000674489.1",0
"chr4",3310324,3313896,3573,"*",6.73253452989952,6.52656805660664,6.91273623904525,-0.281070763537169,0.188451208431227,0.306310574623746,"Promoter (<=1kb)",4,3314147,3439905,125759,1,"6002","ENST00000344733.9",-251
"chr3",184174212,184190043,15832,"*",9.77064844382951,9.91860130382453,9.60577029639795,0.249923139600302,0.188751131131274,0.306735113365188,"Promoter (<=1kb)",3,184174689,184184090,9402,1,"1173","ENST00000686364.1",0
"chr19",18328402,18351099,22698,"*",9.42491175448093,9.26904071831241,9.56557226342504,-0.239485554642039,0.188823685990616,0.306790063471417,"Promoter (<=1kb)",19,18340598,18363678,23081,1,"54858","ENST00000604499.6",0
"chr17",77587476,77624411,36936,"*",11.0653357554532,10.9120573938144,11.203881842637,-0.237544366056208,0.188901681502548,0.306853828885883,"Promoter (<=1kb)",17,77590532,77680687,90156,1,"107985079","ENST00000649512.1",0
"chr4",7690935,7695307,4373,"*",8.17628367849384,8.02204515371437,8.315613618668,-0.236936953474063,0.189701273548917,0.308054387523571,"Intron (ENST00000507866.6/57537, intron 11 of 26)",4,7734280,7740720,6441,1,"57537","ENST00000505529.1",-38973
"chr1",211646890,211658661,11772,"*",9.05504228217893,8.90067074082739,9.19448073902941,-0.237929806686379,0.189718556377378,0.308054387523571,"Promoter (<=1kb)",1,211652147,211654622,2476,1,"105748977","ENST00000653761.1",0
"chr21",45315036,45345203,30168,"*",10.759244497303,10.5958240781357,10.9060227267972,-0.247233627340684,0.189820108075133,0.30815609590959,"Promoter (<=1kb)",21,45338590,45341990,3401,2,"388830","ENST00000416722.1",0
"chr20",62230346,62278306,47961,"*",10.7693947102634,10.6112841604221,10.9118760839865,-0.242066049382835,0.1900197973964,0.308417047670032,"Promoter (<=1kb)",20,62231922,62236299,4378,1,"105369209","ENST00000615516.1",0
"chr8",144197123,144206471,9349,"*",8.0275304526583,7.8590738655906,8.17835773754712,-0.250319104216797,0.190109028083109,0.308496658509582,"Promoter (<=1kb)",8,144199119,144214489,15371,1,"727957","ENST00000527071.1",0
"chr17",4795125,4820476,25352,"*",9.7077475534868,9.54729327600423,9.85212904800133,-0.24393765024207,0.190146759715276,0.308496658509582,"Promoter (<=1kb)",17,4801159,4802328,1170,2,"119139905","ENST00000635921.2",0
"chr19",10546761,10658975,112215,"*",11.5768987327216,11.4179284041215,11.7200778006327,-0.243000186380372,0.19028433470019,0.308656625663827,"Promoter (<=1kb)",19,10552122,10552204,83,1,"100302226","ENST00000408483.1",0
"chr19",10331848,10345766,13919,"*",8.99610873809718,8.83868318623823,9.13803370946779,-0.240620563922797,0.190354466500182,0.308707151385408,"Promoter (<=1kb)",19,10316212,10333529,17318,2,"125950","ENST00000617231.5",0
"chr9",134452818,134464631,11814,"*",9.10026005915605,8.94473099679132,9.24064207057518,-0.238616065808438,0.190826405050409,0.309409152660563,"Distal Intergenic",9,134505472,134521442,15971,1,"100506532","ENST00000444936.2",-40841
"chr3",184010120,184024486,14367,"*",8.89841492165329,9.03581733796249,8.74653539434716,0.236947544494497,0.190955093414098,0.309554428811923,"Promoter (<=1kb)",3,183919934,184017884,97951,2,"10057","ENST00000334444.11",0
"chr6",35707846,35817089,109244,"*",12.1265543611449,11.9712288456201,12.266770550678,-0.239322853825429,0.191065558818903,0.30967011057857,"Promoter (<=1kb)",6,35794982,35796850,1869,2,"1208","ENST00000622413.2",0
"chr5",133381109,133411472,30364,"*",10.2277020309471,10.068246968994,10.3712741189541,-0.243017337881668,0.191148538136738,0.309705830044488,"Promoter (<=1kb)",5,133387773,133388549,777,1,"105379180","ENST00000507964.1",0
"chr15",52772013,52804760,32748,"*",9.97296782723226,9.81194841779755,10.117806653395,-0.244430537155895,0.191165816044634,0.309705830044488,"Promoter (<=1kb)",15,52755053,52790336,35284,2,"3175","ENST00000305901.7",0
"chr16",63833704,63836070,2367,"*",5.83941360483098,6.16838598381291,5.41255865473395,0.374847199157369,0.191382392179837,0.309993283631035,"Distal Intergenic",16,63730237,63755884,25648,1,"101927629","ENST00000563061.2",103467
"chr2",42018372,42066325,47954,"*",10.6374006542814,10.4802168483271,10.7791291487064,-0.240774322873957,0.191953017200364,0.310805500998957,"Promoter (<=1kb)",2,42048021,42058517,10497,1,"91461","ENST00000294964.6",0
"chr1",223625233,223635556,10324,"*",8.23955341112192,8.08864451427945,8.37616106542703,-0.233667820328769,0.191962331782536,0.310805500998957,"Promoter (<=1kb)",1,223622622,223628705,6084,2,"388743","ENST00000465098.1",0
"chr9",34681107,34711885,30779,"*",9.91340581837758,9.76380691992609,10.0489392890862,-0.232876223641458,0.192368262542871,0.311380119349999,"Promoter (<=1kb)",9,34702953,34774466,71514,1,"23349","ENST00000664167.1",0
"chr7",308931,333790,24860,"*",10.1826568744105,10.0175994630545,10.3307540365155,-0.248096969333606,0.192395873718846,0.311380119349999,"Promoter (<=1kb)",7,329776,333172,3397,2,"105375118","ENST00000670013.1",0
"chr15",72807266,72841442,34177,"*",10.1658334221578,10.0188671874155,10.2992027596027,-0.230317923911811,0.192521439766291,0.311519673377453,"Distal Intergenic",15,72786703,72794808,8106,1,"100287559","ENST00000670622.1",20563
"chr17",596373,597731,1359,"*",5.8134512464441,6.02555872011486,5.56469368910078,0.312893076862998,0.192706986778012,0.311706023609745,"Intron (ENST00000681160.1/55275, intron 9 of 18)",17,518940,602107,83168,2,"55275","ENST00000681600.1",4376
"chr1",119820484,119848775,28292,"*",9.84351183324338,9.96984036661252,9.70505054544866,0.221769250886366,0.192715329156878,0.311706023609745,"Promoter (<=1kb)",1,119834870,119844514,9645,2,"343505","ENST00000445758.4",0
"chr1",156132425,156169625,37201,"*",10.4486949964375,10.2914804992471,10.5904484382134,-0.240555614759106,0.192768085976596,0.311727684878225,"Promoter (<=1kb)",1,156134805,156135408,604,1,"4000","ENST00000515824.1",0
"chr19",34458120,34510378,52259,"*",10.606884263664,10.4489718316511,10.7492047617028,-0.241248997185617,0.1930401286121,0.312103874740551,"Promoter (<=1kb)",19,34458714,34469398,10685,1,"10054","ENST00000592791.1",0
"chr20",4807806,4825554,17749,"*",9.58338333207706,9.42767643485038,9.72391018406626,-0.238605848066263,0.193408638140224,0.312635845158692,"Promoter (<=1kb)",20,4780023,4823608,43586,2,"9770","ENST00000379400.8",0
"chr17",6380634,6396958,16325,"*",9.57339478611266,9.70831828897711,9.42453879852043,0.233289866682093,0.193503647392658,0.312725588510706,"Exon (ENST00000570584.5/23746, exon 3 of 3)",17,6373833,6375080,1248,2,"105371509","ENST00000649660.1",-5554
"chr7",125467186,125469223,2038,"*",6.20040980342685,5.97329841524445,6.39658400452017,-0.295037802956825,0.193618574283279,0.312809374035568,"Intron (ENST00000651909.1/100506664, intron 7 of 7)",7,125438222,125461869,23648,1,"100506664","ENST00000415896.1",28964
"chr8",101083421,101130418,46998,"*",11.202632189223,11.344833135311,11.0448669530836,0.241541615253831,0.19363449318378,0.312809374035568,"Promoter (<=1kb)",8,101122145,101126158,4014,2,"105375674","ENST00000524369.1",0
"chr16",89853011,89867215,14205,"*",8.62572174929121,8.37789327198177,8.83715382393517,-0.308859712755557,0.194346483700435,0.313895534249183,"Promoter (<=1kb)",16,89854322,89856061,1740,1,"84501","ENST00000561883.1",0
"chr19",5553353,5601617,48265,"*",10.5954825978268,10.433634304727,10.7409916101377,-0.244725616481697,0.194591657110503,0.314227433250014,"Promoter (<=1kb)",19,5558167,5567953,9787,2,"257000","ENST00000448587.6",0
"chr18",13210416,13225752,15337,"*",9.17424527847889,9.3022258269752,9.03379665392834,0.224182036215003,0.19464595198963,0.314251028298854,"Promoter (<=1kb)",18,13203774,13216367,12594,2,"124904255","ENST00000586278.1",0
"chr1",152911331,152913373,2043,"*",5.58550535426027,5.30169379349349,5.82255751140795,-0.324501914240066,0.194750504701756,0.314355737206117,"Promoter (2-3kb)",1,152908546,152911886,3341,1,"3713","ENST00000368764.4",2785
"chr15",48640778,48650866,10089,"*",8.44814278549714,8.58507430975824,8.29683849469722,0.236432663407977,0.194820996935545,0.31440543605718,"Promoter (<=1kb)",15,48645951,48652016,6066,1,"105370809","ENST00000558061.1",0
"chr19",2708892,2713216,4325,"*",7.40767495567744,7.23572640482348,7.56129484758124,-0.251971179405208,0.194921985362401,0.31450431990319,"Distal Intergenic",19,2511219,2702694,191476,2,"2788","ENST00000382159.8",-6198
"chr3",194796832,194845395,48564,"*",11.0875924216266,11.222742406172,10.9384606717846,0.232616106735856,0.195071721745259,0.314681801690917,"Exon (ENST00000668747.1/100507391, exon 8 of 8)",3,194769423,194779686,10264,1,"100507391","ENST00000662703.1",27409
"chr12",125180428,125204245,23818,"*",9.38029176131642,9.22254803419633,9.52247523600636,-0.239991694403222,0.195473837433193,0.315266256340826,"Promoter (<=1kb)",12,125186386,125662369,475984,1,"114795","ENST00000682704.1",0
"chr21",36938593,36939890,1298,"*",5.5395780451973,5.76482577872686,5.2725366845863,0.319088060026492,0.195531193459648,0.315294547140491,"5' UTR",21,36896570,36930417,33848,2,"3141","ENST00000482273.1",-8176
"chr21",45621751,45626639,4889,"*",7.24305008137891,7.06338792577019,7.40279585568682,-0.258517163457731,0.195616000830948,0.315367082772858,"Promoter (<=1kb)",21,45596364,45625675,29312,2,"107985485","ENST00000651182.1",0
"chr4",6174280,6214379,40100,"*",10.440218778183,10.2863180095567,10.5792730907724,-0.236777898222329,0.195674394953302,0.315397014784286,"Promoter (<=1kb)",4,6026199,6200549,174351,2,"152789","ENST00000409021.9",0
"chr19",46383217,46435472,52256,"*",10.7271192646001,10.569225793582,10.8694243638284,-0.240717829999737,0.195801211514098,0.315537198612158,"Promoter (<=1kb)",19,46393359,46404276,10918,2,"105372426","ENST00000686393.2",0
"chr20",50118982,50157244,38263,"*",10.4799016952901,10.625938406801,10.3174001393492,0.245880307196943,0.195878538363187,0.315597588056578,"Promoter (<=1kb)",20,50118254,50153723,35470,2,"387521","ENST00000371652.9",0
"chr17",77731666,77775746,44081,"*",11.3003676331361,11.1448713890767,11.4407229115979,-0.238470208498818,0.195997255119266,0.315724626381097,"Distal Intergenic",17,77722872,77728559,5688,2,"100132174","ENST00000593118.1",-3107
"chr20",43662000,43670891,8892,"*",8.08809534293922,7.92614052733294,8.23369043254677,-0.243158875644888,0.196088627297349,0.315807573635897,"Promoter (<=1kb)",20,43667019,43716495,49477,1,"4605","ENST00000396863.8",0
"chr9",131754803,131768986,14184,"*",8.89383178647456,8.74652852125591,9.02747857554253,-0.229417716992279,0.196325247680066,0.316078128532529,"Distal Intergenic",9,131576775,131740076,163302,2,"2889","ENST00000683357.1",-14727
"chr10",49088405,49122254,33850,"*",10.5093104339068,10.6482656326235,10.355531085082,0.237234776434337,0.196336445795114,0.316078128532529,"Promoter (<=1kb)",10,49121839,49151547,29709,1,"100506733","ENST00000442525.5",0
"chr20",36409441,36425571,16131,"*",9.26124868186413,9.11101391628713,9.39730377800516,-0.232358545808968,0.19641784834261,0.316144906712425,"Intron (ENST00000373913.7/22839, intron 2 of 12)",20,36461338,36528637,67300,1,"22839","ENST00000475894.5",-35767
"chr12",2955125,2967906,12782,"*",8.40864068117357,8.24769260833654,8.55342179624158,-0.242071682554154,0.196520800453291,0.316191418333483,"Promoter (<=1kb)",12,2959330,3040665,81336,1,"7004","ENST00000358409.7",0
"chr22",23207025,23228008,20984,"*",9.22366222378152,9.07469405767279,9.35867786762033,-0.231235211652547,0.196526601974669,0.316191418333483,"Intron (ENST00000479188.5/613, intron 1 of 4)",22,23198332,23253833,55502,1,"613","ENST00000487679.1",8693
"chr19",17381846,17417026,35181,"*",9.91822248176226,9.77692857750903,10.046904424849,-0.223573700565894,0.196595246316162,0.316209694442453,"Promoter (<=1kb)",19,17405686,17414611,8926,1,"105221694","ENST00000646744.1",0
"chr3",126676642,126690439,13798,"*",8.77601887317445,8.63030815651978,8.90835359683273,-0.22772116966543,0.196617822380937,0.316209694442453,"Distal Intergenic",3,126704240,126957833,253594,1,"84303","ENST00000503119.5",-13801
"chr8",73101757,73104785,3029,"*",6.66737300715279,6.83521499549964,6.47740167726367,0.269893105647275,0.196833430894157,0.316492170406259,"Intron (ENST00000519697.1/157869, intron 1 of 4)",8,73064543,73093172,28630,2,"157869","ENST00000297354.7",-8585
"chr15",31197139,31226388,29250,"*",9.79495973892071,9.63956337922586,9.93523364732741,-0.23774808281493,0.196921836641762,0.316570041487234,"Promoter (<=1kb)",15,31216021,31224445,8425,1,"102725022","ENST00000557928.1",0
"chr16",75224191,75270978,46788,"*",10.6958490960562,10.5229454819737,10.8502306597412,-0.25436064824033,0.197059459777617,0.316682901845542,"Promoter (<=1kb)",16,75226074,75228197,2124,1,"100506281","ENST00000489723.5",0
"chr19",4631363,4664463,33101,"*",10.2647432671564,10.1089581151164,10.4053338448207,-0.238275054707895,0.197073459672754,0.316682901845542,"Promoter (<=1kb)",19,4639516,4655568,16053,1,"126282","ENST00000327473.9",0
"chr10",97010304,97015336,5033,"*",7.492596899008,7.31534938421308,7.65043136077586,-0.256525691715042,0.197112012021301,0.316682901845542,"Exon (ENST00000266058.9/6585, exon 29 of 37)",10,96949223,96958515,9293,1,"84458","ENST00000463415.1",61081
"chr17",50500289,50512799,12511,"*",9.24775583388017,9.10159026531979,9.38046556947767,-0.228044188470419,0.197361200636878,0.317018934653841,"Promoter (<=1kb)",17,50508425,50522666,14242,1,"84073","ENST00000470609.5",0
"chr5",77627624,77634211,6588,"*",7.47548264005169,7.2926997568929,7.63769016280828,-0.260765088927842,0.197795316389879,0.31765181717531,"Promoter (2-3kb)",5,77635931,77636993,1063,2,"23440","ENST00000515716.1",2782
"chr17",10834281,10841351,7071,"*",7.70444966679804,7.54715014652412,7.8462722145071,-0.238702435657694,0.19836099201172,0.318495680401625,"Promoter (<=1kb)",17,10794906,10838094,43189,2,"100289255","ENST00000643787.1",0
"chr1",197907495,197923564,16070,"*",9.22765311666823,9.07293073229851,9.3673777087543,-0.236601686436663,0.19862930408883,0.318861840478297,"Promoter (<=1kb)",1,197911902,197917991,6090,1,"56956","ENST00000606127.2",0
"chr17",47787245,47828470,41226,"*",11.0345498238104,10.8679469918784,11.1838896625346,-0.248413750801463,0.198762083278969,0.319010323771008,"Promoter (<=1kb)",17,47807372,47821794,14423,2,"114881","ENST00000007414.8",0
"chr16",86239517,86254775,15259,"*",8.75300094551864,8.60636614586599,8.88609732231532,-0.228194767401287,0.198921404774165,0.31920133827895,"Intron (ENST00000602425.2/101154687, intron 3 of 7)",16,86221420,86223077,1658,2,"124903744","ENST00000667546.1",-16440
"chr19",17208455,17369272,160818,"*",12.3856451463648,12.2192720112816,12.534800437164,-0.248304436460537,0.199028722682035,0.319308844189432,"Promoter (<=1kb)",19,17281645,17286505,4861,1,"126549","ENST00000404261.9",0
"chr17",77912693,77970824,58132,"*",11.5003957605211,11.3477007104963,11.6384651838135,-0.235111286261228,0.199310161312524,0.31969559802185,"Promoter (<=1kb)",17,77958703,78108822,150120,1,"57690","ENST00000696270.1",0
"chr1",156219705,156255062,35358,"*",10.3185528992539,10.1719207194345,10.4516471179738,-0.228776959515032,0.199574666352791,0.320055039053817,"Promoter (<=1kb)",1,156250033,156251380,1348,2,"23381","ENST00000476954.1",0
"chr17",5253980,5265878,11899,"*",8.23808107458803,8.06677566329802,8.3911875457133,-0.250441903542202,0.199649597651194,0.320110379388501,"Distal Intergenic",17,5282265,5308802,26538,1,"9135","ENST00000575991.1",-16387
"chr9",129249973,129297328,47356,"*",10.4599833360833,10.3060456239498,10.5990678023133,-0.235968704602315,0.200083281163186,0.320740790188516,"Promoter (<=1kb)",9,129282426,129286530,4105,1,"101929331","ENST00000455981.2",0
"chr17",20974063,20984008,9946,"*",8.59288118080472,8.44535906566283,8.72670806914469,-0.228442724714349,0.200290935884627,0.320949140310064,"Exon (ENST00000439794.6/124900389, exon 3 of 4)",17,20963722,20980238,16517,1,"339260","ENST00000581673.1",10341
"chr21",36650091,36675202,25112,"*",9.459462053529,9.31004679799294,9.59484479721836,-0.230953724627759,0.200294311328746,0.320949140310064,"Distal Intergenic",21,36632681,36637033,4353,2,"105369308","ENST00000457669.1",-13058
"chr8",142827020,142849026,22007,"*",9.52496879301476,9.38282463756823,9.65435549792594,-0.223504542936416,0.200740945797744,0.321587616831426,"Promoter (<=1kb)",8,142834247,142916506,82260,1,"2765","ENST00000522728.5",0
"chr22",37956739,38002488,45750,"*",10.2858769328372,10.1206843903791,10.4340828500569,-0.246474459092485,0.20080764951308,0.321587616831426,"Promoter (<=1kb)",22,37988794,37988853,60,1,"100616146","ENST00000578108.1",0
"chr16",30995932,31018626,22695,"*",9.59688318014606,9.44910474620306,9.7309209389021,-0.229335716879716,0.20084716099604,0.321587616831426,"Promoter (<=1kb)",16,30989256,31010638,21383,2,"112755","ENST00000215095.11",0
"chr7",5515967,5563989,48023,"*",10.6788649771021,10.5185786671674,10.8231104817896,-0.242055471857296,0.200855203036777,0.321587616831426,"Promoter (<=1kb)",7,5526409,5530601,4193,2,"60","ENST00000674681.1",0
"chr9",127823579,127831222,7644,"*",8.27218190838229,8.11462698207644,8.41421200323161,-0.238143335908532,0.20091847442871,0.321623675220025,"Promoter (<=1kb)",9,127819238,127824405,5168,2,"2022","ENST00000486329.1",0
"chr4",7725099,7774893,49795,"*",10.7639068964704,10.6059719045984,10.9062457155908,-0.239827809819885,0.200958952517828,0.321623675220025,"Promoter (<=1kb)",4,7734280,7740720,6441,1,"57537","ENST00000505529.1",0
"chr15",75160620,75163718,3099,"*",6.61088882498211,6.41084559540999,6.78654182981253,-0.273111763319386,0.201006351759791,0.321634532145037,"Distal Intergenic",15,75195643,75206112,10470,1,"56905","ENST00000563905.5",-31925
"chrX",129949149,129967629,18481,"*",8.93693502246027,8.79354285815197,9.0673548108141,-0.224800186353648,0.201073209807018,0.321676514840763,"Promoter (<=1kb)",23,129869064,129957528,88465,2,"105373335","ENST00000432062.1",0
"chr20",46926975,46969373,42399,"*",10.2005006126862,10.0535794687666,10.3338328213137,-0.22867733129271,0.201517583979819,0.322322308126881,"Intron (ENST00000357410.7/2139, intron 1 of 13)",20,46978235,46990070,11836,1,"2139","ENST00000497428.1",-8862
"chr17",6912504,6916219,3716,"*",6.9809081774822,7.14676943339208,6.7934711518491,0.26852632145456,0.201602630390869,0.322393220934025,"Intron (ENST00000574183.1/124903906, intron 1 of 1)",17,6899914,6954107,54194,1,"124903906","ENST00000574183.1",12590
"chr13",23182274,23183674,1401,"*",5.36856772083165,5.08748928763255,5.6037119460223,-0.323862116648928,0.201675285878722,0.322444294139632,"Promoter (1-2kb)",13,23180979,23325162,144184,1,"6445","ENST00000218867.4",1295
"chr1",160184881,160227942,43062,"*",10.524160606506,10.6632559529827,10.3702095637371,0.236463286302067,0.2017909474827,0.322564092272003,"Promoter (<=1kb)",1,160216553,160224472,7920,2,"50717","ENST00000477163.1",0
"chr22",39165181,39190740,25560,"*",9.64768520594373,9.49288479922856,9.787473413144,-0.23614130086998,0.201884484839898,0.322614999965182,"Distal Intergenic",22,39130772,39152680,21909,2,"23492","ENST00000216133.10",-12501
"chr2",130299579,130320907,21329,"*",9.35215935755437,9.20186698865857,9.48826168716958,-0.231447731244206,0.201904273245037,0.322614999965182,"Exon (ENST00000605408.1/ENST00000605408.1, exon 1 of 1)",2,130338247,130342135,3889,2,"84317","ENST00000465315.1",21228
"chr17",57771703,57792483,20781,"*",9.80131081154693,9.65413419633018,9.93485335313607,-0.228657684031918,0.202045889889234,0.322776155342514,"Exon (ENST00000411044.1/ENST00000411044.1, exon 1 of 1)",17,57744495,57745299,805,2,"101927581","ENST00000299415.3",-26404
"chr1",19823963,19826460,2498,"*",6.52504075483089,6.8444450406367,6.1141998174579,0.363772433147048,0.202154197878406,0.322884044574243,"Distal Intergenic",1,19814029,19815283,1255,2,"54546","ENST00000375121.4",-8680
"chr10",123528588,123531896,3309,"*",6.60627520120378,6.40622000493942,6.78193742909553,-0.272695784264758,0.202446264266232,0.323181811869749,"Intron (ENST00000662754.1/105378531, intron 3 of 3)",10,123560326,123562213,1888,1,"105378531","ENST00000665714.1",-28430
"chr9",121468090,121500745,32656,"*",10.2096413898595,10.0610154777976,10.3443758728918,-0.230221500297727,0.202453031913882,0.323181811869749,"Promoter (<=1kb)",9,121444991,121499757,54767,2,"2681","ENST00000481534.5",0
"chr16",1652074,1653640,1567,"*",5.44064934875136,5.15220401148988,5.68092225839153,-0.323727982331229,0.202463059563812,0.323181811869749,"3' UTR",16,1662462,1668063,5602,1,"57585","ENST00000492778.5",-8822
"chr5",6572031,6589120,17090,"*",9.44325709033665,9.28513891965712,9.58574465153515,-0.239290127715117,0.20278598390482,0.323573706906044,"Promoter (<=1kb)",5,6582136,6586604,4469,1,"255167","ENST00000513844.2",0
"chr5",132250060,132286021,35962,"*",10.9162425467972,11.0597374560922,10.7568826968779,0.241359217574181,0.202790290109193,0.323573706906044,"Promoter (<=1kb)",5,132277209,132277922,714,2,"124901063","ENST00000481636.1",0
"chr9",114069492,114102301,32810,"*",10.3898580471625,10.2282173208241,10.535199298656,-0.242843072641634,0.202892585626129,0.323623382089891,"Promoter (<=1kb)",9,114086126,114093917,7792,2,"113220","ENST00000498016.1",0
"chr6",41926318,41942968,16651,"*",9.14741629361568,9.28268633978142,8.99813831878059,0.232133691046352,0.202903155963671,0.323623382089891,"Promoter (<=1kb)",6,41927435,41932996,5562,1,"705","ENST00000372996.2",0
"chr9",113555265,113605253,49989,"*",10.9815910499395,11.1192817119015,10.8293591990428,0.234413775317674,0.20310047063882,0.323854913998809,"Promoter (<=1kb)",9,113564954,113597743,32790,1,"5998","ENST00000342620.9",0
"chr16",74708049,74756665,48617,"*",10.5241815482425,10.3736940262536,10.6604438736602,-0.232066748951756,0.203130112114166,0.323854913998809,"Promoter (<=1kb)",16,74712955,74717106,4152,2,"79152","ENST00000562145.1",0
"chr10",102623357,102637163,13807,"*",8.88901244439018,9.01991350276765,8.74503821108132,0.226886547273391,0.20338628449173,0.324198064993963,"3' UTR",10,102642503,102658318,15816,1,"81603","ENST00000710327.1",-5340
"chr19",41693804,41723942,30139,"*",10.138327963918,9.99102806360359,10.2719719834996,-0.228632460101655,0.203502315983794,0.324317738030924,"Promoter (<=1kb)",19,41708585,41729345,20761,1,"1048","ENST00000398599.8",0
"chr11",46141943,46145529,3587,"*",6.48595606322681,6.28886739513889,6.65932775280082,-0.273112785433403,0.203651735385951,0.324467859900791,"Exon (ENST00000312173.5/ENST00000312173.5, exon 1 of 1)",11,46160395,46177106,16712,1,"101928894","ENST00000663734.1",-14866
"chr11",17437418,17486742,49325,"*",10.4269641351903,10.28148723232,10.5591060023339,-0.226861750693016,0.203678460862083,0.324467859900791,"Promoter (<=1kb)",11,17476595,17492356,15762,1,"124902641","ENST00000662030.1",0
"chr20",50168299,50173480,5182,"*",7.87905789667662,8.0243793203824,7.71744169925483,0.245711258046869,0.203939051916184,0.324817649260713,"Promoter (<=1kb)",20,50171809,50176676,4868,1,"101927541","ENST00000670659.1",0
"chr19",47860603,47862406,1804,"*",6.01029188790057,5.78180641718999,6.20748992463305,-0.296017765372378,0.204061211383619,0.324946859631386,"Promoter (1-2kb)",19,47859235,47861721,2487,1,"503627","ENST00000699383.1",1368
"chr19",46006089,46038402,32314,"*",10.3725510192051,10.2160035736255,10.5137620316489,-0.237761166570793,0.204141855920229,0.32500992300609,"Promoter (<=1kb)",19,46027648,46031667,4020,1,"105372421","ENST00000595955.2",0
"chr21",43571877,43575656,3780,"*",6.88215072777385,6.67776505411298,7.06114170275777,-0.274144635424615,0.20454398368651,0.325584684786628,"Intron (ENST00000291560.7/11077, intron 8 of 8)",21,43565182,43565648,467,1,"54145","ENST00000599962.2",6695
"chr12",6808870,6874200,65331,"*",11.2873133226121,11.127920609165,11.4308348720689,-0.240537589683662,0.204685244220483,0.325712710831546,"Promoter (<=1kb)",12,6873569,6907733,34165,1,"10233","ENST00000433346.5",0
"chr11",75180051,75227579,47529,"*",10.6787022189385,10.5263501642437,10.8164911936693,-0.233612264397576,0.204706675313626,0.325712710831546,"Promoter (<=1kb)",11,75206048,75212892,6845,2,"105369388","ENST00000657165.1",0
"chr15",69565214,69582639,17426,"*",9.99699512391975,9.85741143482474,10.1242571889183,-0.220439885855536,0.20478479293423,0.325771549868656,"Promoter (<=1kb)",15,69570785,69633371,62587,1,"104472713","ENST00000643306.1",0
"chrX",53279102,53295193,16092,"*",9.58085610809952,9.7174527710811,9.42996062646546,0.233372220900118,0.20483962194128,0.325793325196425,"Promoter (<=1kb)",23,53234110,53281614,47505,2,"23096","ENST00000375365.2",0
"chr2",238591544,238604227,12684,"*",8.68645815079728,8.82655445388487,8.53127976377408,0.237399419156093,0.204958436183337,0.325916838581496,"Intron (ENST00000653335.1/105373962, intron 2 of 2)",2,238510690,238555054,44365,2,"151171","ENST00000446979.1",-36490
"chr8",101131350,101138510,7161,"*",8.22719982874176,8.36670388270736,8.07274786956205,0.238084536217625,0.205024586493659,0.325956575073937,"Promoter (1-2kb)",8,101139665,101140929,1265,1,"105375675","ENST00000518090.1",-1155
"chr17",19889650,19893985,4336,"*",6.95652357395467,6.78122214834778,7.11281342719416,-0.257260826341014,0.20526376575632,0.326237723860696,"Distal Intergenic",17,19770830,19867936,97107,2,"9706","ENST00000395544.9",-21714
"chr12",4267182,4310201,43020,"*",10.6844816584089,10.5345809030601,10.8202628057278,-0.231177205674894,0.205283820936715,0.326237723860696,"Promoter (<=1kb)",12,4247981,4275456,27476,2,"103752584","ENST00000656828.1",0
"chr19",19610363,19664342,53980,"*",10.6066735889784,10.458122067138,10.7413469445618,-0.229787392140276,0.205474171723797,0.326474712255367,"Promoter (<=1kb)",19,19629476,19643657,14182,2,"51291","ENST00000203556.9",0
"chr2",10960529,10975902,15374,"*",8.73548518307416,8.583026444973,8.87336139998967,-0.232463777015618,0.205533939697453,0.3265041661914,"Distal Intergenic",2,10911934,10914225,2292,1,"3754","ENST00000295082.3",48595
"chr15",69645300,69682224,36925,"*",10.7158535272909,10.5621315011645,10.8547619287484,-0.234855169045639,0.20561629153566,0.326569477069975,"Promoter (<=1kb)",15,69667617,69695750,28134,1,"104472713","ENST00000662698.2",0
"chr8",27570206,27618516,48311,"*",10.7525527373042,10.5978907266532,10.8922280997059,-0.235720936072833,0.205695666936273,0.326630035385671,"Promoter (<=1kb)",8,27610601,27610751,151,2,"102465508","ENST00000617673.1",0
"chr19",9856020,9876911,20892,"*",9.26108040950045,9.11605687400231,9.39284816327043,-0.225566441797095,0.205965596721348,0.32699309551651,"Promoter (<=1kb)",19,9853745,9858168,4424,2,"93145","ENST00000590841.5",0
"chr18",11686723,11690595,3873,"*",7.17802200545594,6.9984364394428,7.33770724310492,-0.256050416237369,0.206184167785677,0.327274488814347,"Promoter (<=1kb)",18,11689264,11885685,196422,1,"2774","ENST00000334049.11",0
"chr17",51460975,51466190,5216,"*",7.4894327319737,7.63229003945462,7.33085902878647,0.241727952307053,0.206294332452714,0.327383731201011,"Intron (ENST00000663733.1/440446, intron 4 of 4)",17,51439653,51445802,6150,1,"105371828","ENST00000588341.1",21322
